Oligo	Referencia	Strand
FORWARD	OW388301	minus
FORWARD	CP053865	minus
FORWARD	CP053870	minus
FORWARD	LR132020	minus
FORWARD	CP036294	minus
FORWARD	KX791846	minus
FORWARD	KX791796	minus
FORWARD	CP011233	minus
FORWARD	XM_046104145	minus
FORWARD	CP066126	minus
FORWARD	CP049362	minus
FORWARD	OU015462	minus
FORWARD	CP066009	minus
FORWARD	CP003386	minus
FORWARD	CP059348	minus
FORWARD	CP002487	minus
FORWARD	FQ312003	minus
FORWARD	XM_033987727	plus
FORWARD	CP049910	plus
FORWARD	MN401208	plus
FORWARD	MN401207	plus
FORWARD	MN401206	plus
FORWARD	MN401205	plus
FORWARD	MN401204	plus
FORWARD	MN401203	plus
FORWARD	MN401202	plus
FORWARD	MN401201	plus
FORWARD	CP019397	plus
FORWARD	CP019427	plus
FORWARD	MN458559	plus
FORWARD	MN166440	plus
FORWARD	MN166439	plus
FORWARD	MN166432	plus
FORWARD	MN166429	plus
FORWARD	MN166428	plus
FORWARD	MN166426	plus
FORWARD	MN166421	plus
FORWARD	MN166419	plus
FORWARD	MN166418	plus
FORWARD	MN166415	plus
FORWARD	MN166414	plus
FORWARD	MN166412	plus
FORWARD	MN166411	plus
FORWARD	MN166410	plus
FORWARD	MN166405	plus
FORWARD	MH480513	plus
FORWARD	MH616632	plus
FORWARD	MH319852	plus
FORWARD	MG646679	plus
FORWARD	MH999848	plus
FORWARD	MH999846	plus
FORWARD	MH999841	plus
FORWARD	MH999840	plus
FORWARD	MH999839	plus
FORWARD	MH999838	plus
FORWARD	CP024939	plus
FORWARD	MH102298	plus
FORWARD	MG708292	plus
FORWARD	MG708291	plus
FORWARD	MG708290	plus
FORWARD	MG708289	plus
FORWARD	MG708289	plus
FORWARD	MG708288	plus
FORWARD	MG708287	plus
FORWARD	MG708286	plus
FORWARD	MG708285	plus
FORWARD	MG708284	plus
FORWARD	MG999898	plus
FORWARD	MG999897	plus
FORWARD	MG999893	plus
FORWARD	MG999892	plus
FORWARD	MG999890	plus
FORWARD	MG999887	plus
FORWARD	MG999884	plus
FORWARD	MG999883	plus
FORWARD	MG999882	plus
FORWARD	MG999881	plus
FORWARD	MG999880	plus
FORWARD	MG999877	plus
FORWARD	MG999874	plus
FORWARD	MG999873	plus
FORWARD	MG999872	plus
FORWARD	MG999870	plus
FORWARD	MG999867	plus
FORWARD	MG999856	plus
FORWARD	MG999852	plus
FORWARD	MG999848	plus
FORWARD	MG999846	plus
FORWARD	MG999844	plus
FORWARD	MG999843	plus
FORWARD	MG999840	plus
FORWARD	MG999839	plus
FORWARD	CP027663	plus
FORWARD	MH160391	plus
FORWARD	MH160390	plus
FORWARD	MH160389	plus
FORWARD	MH160388	plus
FORWARD	MH160386	plus
FORWARD	MH160384	plus
FORWARD	MH160383	plus
FORWARD	MH160381	plus
FORWARD	MH160379	plus
FORWARD	MH160378	plus
FORWARD	MH160376	plus
FORWARD	MH160375	plus
FORWARD	MH160374	plus
FORWARD	MH160373	plus
FORWARD	MH160372	plus
FORWARD	MH160371	plus
FORWARD	MH160369	plus
FORWARD	MH160368	plus
FORWARD	MH160367	plus
FORWARD	MH160364	plus
FORWARD	MH160363	plus
FORWARD	MH160362	plus
FORWARD	MH160360	plus
FORWARD	MH160358	plus
FORWARD	CP022070	plus
FORWARD	KY828134	plus
FORWARD	KY828133	plus
FORWARD	KY828130	plus
FORWARD	KY828123	plus
FORWARD	CP026124	plus
FORWARD	MF959544	plus
FORWARD	KY922719	plus
FORWARD	KY922718	plus
FORWARD	CP020892	plus
FORWARD	CP020566	plus
FORWARD	KX424525	plus
FORWARD	KM222727	plus
FORWARD	XM_019784193	plus
FORWARD	LT594111	plus
FORWARD	LT594108	plus
FORWARD	LT594107	plus
FORWARD	KX265044	plus
FORWARD	KX265039	plus
FORWARD	KX265036	plus
FORWARD	KX265035	plus
FORWARD	KX265033	plus
FORWARD	KX265032	plus
FORWARD	KX265030	plus
FORWARD	KX265027	plus
FORWARD	KX265025	plus
FORWARD	KX265023	plus
FORWARD	LT576867	plus
FORWARD	XM_008199864	plus
FORWARD	XM_008199863	plus
FORWARD	XM_008199862	plus
FORWARD	KT780616	plus
FORWARD	JN420342	plus
FORWARD	KU310660	plus
FORWARD	KT425108	plus
FORWARD	KR052508	plus
FORWARD	KR011311	plus
FORWARD	KR011309	plus
FORWARD	KR011307	plus
FORWARD	KR011306	plus
FORWARD	KR011305	plus
FORWARD	KR011304	plus
FORWARD	KR011302	plus
FORWARD	KR011301	plus
FORWARD	KR011300	plus
FORWARD	KR011299	plus
FORWARD	KR011298	plus
FORWARD	KR011295	plus
FORWARD	KR011294	plus
FORWARD	KR011292	plus
FORWARD	KR011291	plus
FORWARD	KR011290	plus
FORWARD	KR011284	plus
FORWARD	KR011282	plus
FORWARD	KR011281	plus
FORWARD	KR011279	plus
FORWARD	KR011277	plus
FORWARD	KR011276	plus
FORWARD	KR011275	plus
FORWARD	KJ847330	plus
FORWARD	ON960061	plus
FORWARD	ON960060	plus
FORWARD	ON960055	plus
FORWARD	ON960054	plus
FORWARD	OX246747	plus
FORWARD	ON152716	plus
FORWARD	ON152715	plus
FORWARD	ON007163	plus
FORWARD	ON007161	plus
FORWARD	ON007157	plus
FORWARD	ON007155	plus
FORWARD	ON007153	plus
FORWARD	ON007140	plus
FORWARD	ON007139	plus
FORWARD	ON007133	plus
FORWARD	ON007158	plus
FORWARD	ON007154	plus
FORWARD	ON007151	plus
FORWARD	ON007150	plus
FORWARD	ON007149	plus
FORWARD	ON007146	plus
FORWARD	ON007144	plus
FORWARD	ON007143	plus
FORWARD	ON007142	plus
FORWARD	ON007136	plus
FORWARD	ON007132	plus
FORWARD	CP053750	plus
FORWARD	CP080624	plus
FORWARD	KF498959	plus
FORWARD	HM585515	plus
FORWARD	HM585514	plus
FORWARD	HM585513	plus
FORWARD	HM585512	plus
FORWARD	HM585511	plus
FORWARD	HM585510	plus
FORWARD	HM585509	plus
FORWARD	HM585508	plus
FORWARD	HM585507	plus
FORWARD	HM585505	plus
FORWARD	HM585503	plus
FORWARD	HM585502	plus
FORWARD	HM585501	plus
FORWARD	HM585498	plus
FORWARD	OU342725	plus
FORWARD	OU342725	plus
FORWARD	KC140233	plus
FORWARD	KC140232	plus
FORWARD	KC140231	plus
FORWARD	KC140230	plus
FORWARD	JN420341	plus
FORWARD	JN420337	plus
FORWARD	JN181143	plus
FORWARD	JN181141	plus
FORWARD	JN181140	plus
FORWARD	JN181138	plus
FORWARD	JN181136	plus
FORWARD	JN181135	plus
FORWARD	JN181134	plus
FORWARD	JN181133	plus
FORWARD	JN181132	plus
FORWARD	JN181131	plus
FORWARD	JN181130	plus
FORWARD	JN181129	plus
FORWARD	JN181127	plus
FORWARD	JN181126	plus
FORWARD	JN181125	plus
FORWARD	JN181124	plus
FORWARD	JN181123	plus
FORWARD	JN181122	plus
FORWARD	JN181120	plus
FORWARD	JN181119	plus
FORWARD	JN181118	plus
FORWARD	HQ833203	plus
FORWARD	GQ898900	plus
FORWARD	AB297669	plus
FORWARD	AJ626520	plus
FORWARD	AJ626519	plus
FORWARD	AJ626518	plus
FORWARD	AJ626507	plus
FORWARD	AJ626500	plus
FORWARD	AF116193	plus
FORWARD	AY240833	plus
FORWARD	AY240827	plus
FORWARD	AY240832	plus
FORWARD	AY240831	plus
FORWARD	AY240824	plus
FORWARD	AY240819	plus
FORWARD	AY240818	plus
FORWARD	AY240816	plus
FORWARD	AY240815	plus
FORWARD	AY240814	plus
FORWARD	AY240813	plus
FORWARD	AY240810	plus
FORWARD	AY240803	plus
FORWARD	AY240796	plus
FORWARD	AY240793	plus
FORWARD	AY240788	plus
FORWARD	AY240785	plus
FORWARD	AY240783	plus
FORWARD	AY240782	plus
FORWARD	AY240777	plus
FORWARD	AY240776	plus
FORWARD	AY240775	plus
FORWARD	AY240772	plus
FORWARD	AY240769	plus
FORWARD	AY240766	plus
FORWARD	AY240765	plus
FORWARD	AY240761	plus
FORWARD	AY240759	plus
FORWARD	AY240758	plus
FORWARD	AY240757	plus
FORWARD	AY240755	plus
FORWARD	AY240754	plus
FORWARD	AY240753	plus
FORWARD	AY240751	plus
FORWARD	AY240746	plus
FORWARD	AY240745	plus
FORWARD	AY240741	plus
FORWARD	AY240740	plus
FORWARD	AY240738	plus
FORWARD	AY240736	plus
FORWARD	AY240733	plus
FORWARD	AY240682	plus
FORWARD	AY240731	plus
FORWARD	AY240730	plus
FORWARD	AY240729	plus
FORWARD	AY240720	plus
FORWARD	AY240725	plus
FORWARD	AY240684	plus
FORWARD	AY240713	plus
FORWARD	AY240719	plus
FORWARD	AY240718	plus
FORWARD	AY240717	plus
FORWARD	AY240716	plus
FORWARD	AY240715	plus
FORWARD	AY240714	plus
FORWARD	AY240712	plus
FORWARD	AY240709	plus
FORWARD	AY240700	plus
FORWARD	AY240707	plus
FORWARD	AY240699	plus
FORWARD	AY240701	plus
FORWARD	AY240698	plus
FORWARD	AY240697	plus
FORWARD	AY240696	plus
FORWARD	AY240694	plus
FORWARD	AY240692	plus
FORWARD	AY240683	plus
FORWARD	AY240687	plus
FORWARD	AY240688	plus
FORWARD	AY240680	plus
FORWARD	AY240653	plus
FORWARD	AY240679	plus
FORWARD	AY240674	plus
FORWARD	AY240673	plus
FORWARD	AY240670	plus
FORWARD	AY240668	plus
FORWARD	AY240665	plus
FORWARD	AY240664	plus
FORWARD	AY240661	plus
FORWARD	AY240660	plus
FORWARD	AY240658	plus
FORWARD	AY240656	plus
FORWARD	AY240654	plus
FORWARD	AY240652	plus
FORWARD	AY240650	plus
FORWARD	CP054205	minus
FORWARD	AP023184	minus
FORWARD	CP053620	minus
FORWARD	LR786829	minus
FORWARD	XM_033522797	minus
FORWARD	CP051208	minus
FORWARD	CP050136	minus
FORWARD	CP049822	minus
FORWARD	CP049188	minus
FORWARD	CP049132	minus
FORWARD	CP047385	minus
FORWARD	AP019654	minus
FORWARD	CP047024	minus
FORWARD	CP040336	minus
FORWARD	CP046296	minus
FORWARD	CP045611	minus
FORWARD	AP019684	minus
FORWARD	AP019682	minus
FORWARD	LR722985	minus
FORWARD	CP043382	minus
FORWARD	XM_030349699	minus
FORWARD	CP022560	minus
FORWARD	LR633965	minus
FORWARD	CP041054	minus
FORWARD	CP029484	minus
FORWARD	CP036310	minus
FORWARD	CP032631	minus
FORWARD	CP032871	minus
FORWARD	CP029246	minus
FORWARD	CP031153	minus
FORWARD	XM_025507565	minus
FORWARD	CP030076	minus
FORWARD	LS483426	minus
FORWARD	CP024908	minus
FORWARD	MG719244	minus
FORWARD	CP025750	minus
FORWARD	CP024812	minus
FORWARD	CP017389	minus
FORWARD	CP017323	minus
FORWARD	CP017319	minus
FORWARD	CP017317	minus
FORWARD	CP017308	minus
FORWARD	CP017307	minus
FORWARD	XM_022428276	minus
FORWARD	CP016781	minus
FORWARD	CP019732	minus
FORWARD	CP019730	minus
FORWARD	XM_005188651	minus
FORWARD	CP017009	minus
FORWARD	CP017007	minus
FORWARD	CP017637	minus
FORWARD	CP011972	minus
FORWARD	CP012179	minus
FORWARD	CP016414	minus
FORWARD	XM_016383081	minus
FORWARD	XM_015796197	minus
FORWARD	CP013692	minus
FORWARD	XM_013409164	minus
FORWARD	CP012146	minus
FORWARD	CP012145	minus
FORWARD	CP010799	minus
FORWARD	CP101170	minus
FORWARD	CP101178	minus
FORWARD	CP101176	minus
FORWARD	CP101174	minus
FORWARD	CP101172	minus
FORWARD	XM_037646317	minus
FORWARD	OX030782	minus
FORWARD	OX030904	minus
FORWARD	OW982312	minus
FORWARD	OW982273	minus
FORWARD	OW969698	minus
FORWARD	OW968396	minus
FORWARD	OW971946	minus
FORWARD	OW849508	minus
FORWARD	OW848812	minus
FORWARD	OW849369	minus
FORWARD	OW849188	minus
FORWARD	CP088203	minus
FORWARD	OW675810	minus
FORWARD	XM_047897908	minus
FORWARD	OW388267	minus
FORWARD	OW445490	minus
FORWARD	CP075146	minus
FORWARD	CP095554	minus
FORWARD	CP091518	minus
FORWARD	CP072107	minus
FORWARD	AP019808	minus
FORWARD	HG999701	minus
FORWARD	CP092918	minus
FORWARD	OW028661	minus
FORWARD	CP091746	minus
FORWARD	CP091744	minus
FORWARD	CP092832	minus
FORWARD	CP067107	minus
FORWARD	CP066553	minus
FORWARD	OV815488	minus
FORWARD	LN590879	minus
FORWARD	OV696699	minus
FORWARD	CP069084	minus
FORWARD	CP069085	minus
FORWARD	XM_046197767	minus
FORWARD	CP071876	minus
FORWARD	CP089952	minus
FORWARD	OV277351	minus
FORWARD	CP087085	minus
FORWARD	CP087083	minus
FORWARD	CP087074	minus
FORWARD	CP087067	minus
FORWARD	CP087066	minus
FORWARD	CP087037	minus
FORWARD	CP087042	minus
FORWARD	CP087025	minus
FORWARD	CP087011	minus
FORWARD	CP087005	minus
FORWARD	CP087002	minus
FORWARD	CP086986	minus
FORWARD	CP086979	minus
FORWARD	CP086965	minus
FORWARD	CP087001	minus
FORWARD	CP086955	minus
FORWARD	CP086954	minus
FORWARD	CP086951	minus
FORWARD	CP086947	minus
FORWARD	CP086909	minus
FORWARD	CP086933	minus
FORWARD	CP086938	minus
FORWARD	CP086897	minus
FORWARD	CP086894	minus
FORWARD	CP086905	minus
FORWARD	CP086886	minus
FORWARD	CP086880	minus
FORWARD	CP086874	minus
FORWARD	CP086870	minus
FORWARD	CP086866	minus
FORWARD	CP086862	minus
FORWARD	CP086854	minus
FORWARD	CP086843	minus
FORWARD	CP086832	minus
FORWARD	CP086793	minus
FORWARD	CP086817	minus
FORWARD	CP086816	minus
FORWARD	CP086803	minus
FORWARD	CP086779	minus
FORWARD	CP086764	minus
FORWARD	CP086330	minus
FORWARD	CP085743	minus
FORWARD	CP081996	minus
FORWARD	CP081995	minus
FORWARD	CP081993	minus
FORWARD	CP081991	minus
FORWARD	CP081998	minus
FORWARD	CP080576	minus
FORWARD	CP079994	minus
FORWARD	CP079998	minus
FORWARD	CP077958	minus
FORWARD	OU342873	minus
FORWARD	OU342731	minus
FORWARD	XM_042198802	minus
FORWARD	CP077660	minus
FORWARD	CP077369	minus
FORWARD	CP053947	minus
FORWARD	CP070980	minus
FORWARD	CP070981	minus
FORWARD	CP070889	minus
FORWARD	CP072970	minus
FORWARD	CP070881	minus
FORWARD	AP023359	minus
FORWARD	HG995407	minus
FORWARD	HG995374	minus
FORWARD	HG995238	minus
FORWARD	CP069021	minus
FORWARD	OC860513	minus
FORWARD	LR990203	minus
FORWARD	CP066225	minus
FORWARD	CP018814	minus
FORWARD	CP003563	minus
FORWARD	XM_003645143	minus
FORWARD	CP062066	minus
FORWARD	XM_036042128	minus
FORWARD	CP058553	minus
FORWARD	CP048914	minus
FORWARD	XM_035681394	minus
FORWARD	XM_035681385	minus
FORWARD	CP058243	minus
FORWARD	BT111557	minus
FORWARD	CP000806	minus
FORWARD	AM920689	minus
FORWARD	CP000050	minus
FORWARD	CP054803	plus
FORWARD	CP054822	plus
FORWARD	CP053190	plus
FORWARD	XM_034161253	plus
FORWARD	CP050951	plus
FORWARD	CP051152	plus
FORWARD	LR792565	plus
FORWARD	CP050135	plus
FORWARD	CP045141	plus
FORWARD	CP049192	plus
FORWARD	AP022608	plus
FORWARD	CP047386	plus
FORWARD	AP019660	plus
FORWARD	AP019657	plus
FORWARD	CP046271	plus
FORWARD	CP042488	plus
FORWARD	CP019143	plus
FORWARD	CP042200	plus
FORWARD	CP035804	plus
FORWARD	CP035804	plus
FORWARD	CP041253	plus
FORWARD	CP041191	plus
FORWARD	CP029483	plus
FORWARD	CP032559	plus
FORWARD	CP031093	plus
FORWARD	CP020528	plus
FORWARD	XM_028196133	plus
FORWARD	CP035765	plus
FORWARD	LR131997	plus
FORWARD	CP022725	plus
FORWARD	LS997565	plus
FORWARD	LS997565	plus
FORWARD	CP031726	plus
FORWARD	CP032299	plus
FORWARD	CP032232	plus
FORWARD	CP023430	plus
FORWARD	CP029556	plus
FORWARD	CP021167	plus
FORWARD	CP021162	plus
FORWARD	CP017310	plus
FORWARD	CP022584	plus
FORWARD	AP018207	plus
FORWARD	CP020738	plus
FORWARD	CP019882	plus
FORWARD	AP015029	plus
FORWARD	LT629801	plus
FORWARD	CP017183	plus
FORWARD	CP016809	plus
FORWARD	XM_016904487	plus
FORWARD	CP014773	plus
FORWARD	AP015039	plus
FORWARD	LN869922	plus
FORWARD	CP011946	plus
FORWARD	CP012165	plus
FORWARD	CP004083	plus
FORWARD	CP010384	plus
FORWARD	CP082143	plus
FORWARD	CP040755	plus
FORWARD	XM_049760486	plus
FORWARD	CP101613	plus
FORWARD	CP101169	plus
FORWARD	AP025476	plus
FORWARD	OX155977	plus
FORWARD	OX155665	plus
FORWARD	CP099647	plus
FORWARD	CP099627	plus
FORWARD	CP099623	plus
FORWARD	XM_009534821	plus
FORWARD	LN102819	plus
FORWARD	CP053691	plus
FORWARD	CP098412	plus
FORWARD	XM_016045149	plus
FORWARD	CP088221	plus
FORWARD	CP053643	plus
FORWARD	OW969715	plus
FORWARD	OW969670	plus
FORWARD	OW968469	plus
FORWARD	OW968296	plus
FORWARD	OW971937	plus
FORWARD	OW967388	plus
FORWARD	OW849483	plus
FORWARD	OW849382	plus
FORWARD	OW849360	plus
FORWARD	OW849173	plus
FORWARD	OW849162	plus
FORWARD	OW849142	plus
FORWARD	OW804102	plus
FORWARD	OW804102	plus
FORWARD	CP097294	plus
FORWARD	CP095177	plus
FORWARD	CP075545	plus
FORWARD	CP076024	plus
FORWARD	OW204025	plus
FORWARD	OW121688	plus
FORWARD	CP059849	plus
FORWARD	OW029920	plus
FORWARD	OW029920	plus
FORWARD	OW029920	plus
FORWARD	OW028610	plus
FORWARD	OW026428	plus
FORWARD	CP067065	plus
FORWARD	OV815303	plus
FORWARD	OV656771	plus
FORWARD	CP090909	plus
FORWARD	CP090796	plus
FORWARD	CP083571	plus
FORWARD	CP089507	plus
FORWARD	CP087073	plus
FORWARD	CP087060	plus
FORWARD	CP087059	plus
FORWARD	CP087032	plus
FORWARD	CP087047	plus
FORWARD	CP087053	plus
FORWARD	CP087051	plus
FORWARD	CP087022	plus
FORWARD	CP087016	plus
FORWARD	CP087027	plus
FORWARD	CP087009	plus
FORWARD	CP086975	plus
FORWARD	CP086971	plus
FORWARD	CP086991	plus
FORWARD	CP087094	plus
FORWARD	CP087090	plus
FORWARD	CP086980	plus
FORWARD	CP086963	plus
FORWARD	CP086995	plus
FORWARD	CP086924	plus
FORWARD	CP086919	plus
FORWARD	CP086912	plus
FORWARD	CP086930	plus
FORWARD	CP086944	plus
FORWARD	CP086901	plus
FORWARD	CP086891	plus
FORWARD	CP086877	plus
FORWARD	CP086852	plus
FORWARD	CP086847	plus
FORWARD	CP086858	plus
FORWARD	CP086839	plus
FORWARD	CP086831	plus
FORWARD	CP086824	plus
FORWARD	CP086790	plus
FORWARD	CP086785	plus
FORWARD	CP086783	plus
FORWARD	CP086808	plus
FORWARD	CP086798	plus
FORWARD	CP086775	plus
FORWARD	CP086768	plus
FORWARD	CP085757	plus
FORWARD	OU824207	plus
FORWARD	OU823241	plus
FORWARD	CP070821	plus
FORWARD	CP066978	plus
FORWARD	OU611876	plus
FORWARD	CP081989	plus
FORWARD	CP080636	plus
FORWARD	XM_043148394	plus
FORWARD	CP080470	plus
FORWARD	CP072549	plus
FORWARD	OU426946	plus
FORWARD	CP078045	plus
FORWARD	CP077661	plus
FORWARD	CP077336	plus
FORWARD	BK058815	plus
FORWARD	CP054410	plus
FORWARD	CP054411	plus
FORWARD	OU026141	plus
FORWARD	OU015600	plus
FORWARD	CP005976	plus
FORWARD	CP073771	plus
FORWARD	CP070883	plus
FORWARD	CP072953	plus
FORWARD	CP072961	plus
FORWARD	CP072945	plus
FORWARD	CP051235	plus
FORWARD	HG996505	plus
FORWARD	CP064113	plus
FORWARD	CP070876	plus
FORWARD	CP070367	plus
FORWARD	CP069013	plus
FORWARD	CP069009	plus
FORWARD	OC916963	plus
FORWARD	OC862897	plus
FORWARD	CP066284	plus
FORWARD	CP065939	plus
FORWARD	CP027604	plus
FORWARD	CP021902	plus
FORWARD	CP021776	plus
FORWARD	CP065713	plus
FORWARD	CP065670	plus
FORWARD	CP047765	plus
FORWARD	CP059081	plus
FORWARD	CP064656	plus
FORWARD	XM_037242892	plus
FORWARD	CP002498	plus
FORWARD	CP053103	plus
FORWARD	LR884478	plus
FORWARD	CP061744	plus
FORWARD	CP061723	plus
FORWARD	LR862366	plus
FORWARD	AP023323	plus
FORWARD	LR812039	plus
FORWARD	LR812595	plus
FORWARD	LR812570	plus
FORWARD	CP002789	plus
FORWARD	CP002198	plus
FORWARD	AE008922	plus
FORWARD	CP000769	plus
FORWARD	AC147171	plus
FORWARD	L02630	plus
FORWARD	AB077047	plus
FORWARD	DQ019489	plus
REVERSE	KX791996	plus
REVERSE	L00036	plus
REVERSE	MN159383	minus
REVERSE	MN159382	minus
REVERSE	MN159381	minus
REVERSE	MN159380	minus
REVERSE	MN159379	minus
REVERSE	MN159378	minus
REVERSE	MN159377	minus
REVERSE	MN159376	minus
REVERSE	MN136524	minus
REVERSE	MH925774	minus
REVERSE	MH813994	minus
REVERSE	MH813993	minus
REVERSE	MH813992	minus
REVERSE	MH813991	minus
REVERSE	MH813990	minus
REVERSE	MH813989	minus
REVERSE	MH813988	minus
REVERSE	MH813987	minus
REVERSE	MH813986	minus
REVERSE	MH813985	minus
REVERSE	MH813984	minus
REVERSE	MH813983	minus
REVERSE	MH813982	minus
REVERSE	MH813981	minus
REVERSE	MG999894	minus
REVERSE	MG999851	minus
REVERSE	MH160387	minus
REVERSE	MH160380	minus
REVERSE	MH160370	minus
